Timestamp,Volume Flow,Mass Flow,Average Flow,Totalizer
3.399168014526367,-0.0025024414,-0.0025024414,3712.3229980469,551.00
18.40558695793152,-0.0193481445,-0.0193481445,3712.3229980469,551.00
33.41163372993469,0.0035552979,0.0035552979,3712.3229980469,551.00
48.41814875602722,0.0030975342,0.0030975342,3712.3229980469,551.00
63.424471855163574,0.5630798340,0.5630798340,3709.9597167969,552.00
78.43102478981018,0.5228576660,0.5228576660,3702.2485351563,554.00
93.43745875358582,0.5347747803,0.5347747803,3694.2412109375,556.00
108.44389867782593,0.5514831543,0.5514831543,3686.2163085938,558.00
123.45023989677429,0.5087127686,0.5087127686,3678.5437011719,559.00
138.45673179626465,0.5307006836,0.5307006836,3670.0417480469,561.00
153.46337890625,0.4954071045,0.4954071045,3661.6254882813,563.00
168.46977400779724,0.5372314453,0.5372314453,3653.5717773438,565.00
183.47625589370728,0.5201721191,0.5201721191,3646.4719238281,567.00
198.48278498649597,0.5165557861,0.5165557861,3638.0842285156,568.00
213.48903965950012,0.4998168945,0.4998168945,3630.0974121094,570.00
228.49540400505066,0.5180664063,0.5180664063,3622.5009765625,572.00
243.5019257068634,0.5306854248,0.5306854248,3615.1203613281,574.00
258.50836086273193,0.5323486328,0.5323486328,3608.4477539063,576.00
273.5149450302124,0.4916992188,0.4916992188,3600.7185058594,578.00
288.5212399959564,0.5278015137,0.5278015137,3593.4536132813,579.00
303.52762484550476,0.4966278076,0.4966278076,3586.1970214844,581.00
318.5341796875,0.4661102295,0.4661102295,3578.6887207031,583.00
333.5406138896942,0.5456237793,0.5456237793,3571.5847167969,585.00
348.5472798347473,0.5297241211,0.5297241211,3563.8017578125,587.00
363.55361771583557,0.5175323486,0.5175323486,3556.6308593750,588.00
378.56011271476746,0.5485992432,0.5485992432,3549.8100585938,590.00
393.56644582748413,0.4997863770,0.4997863770,3542.7695312500,592.00
408.57297682762146,0.5347747803,0.5347747803,3536.1054687500,594.00
423.5794470310211,0.4612426758,0.4612426758,3528.8684082031,595.00
438.5857620239258,0.5020141602,0.5020141602,3521.7795410156,597.00
453.5922019481659,0.5429992676,0.5429992676,3515.5322265625,599.00
468.5986728668213,0.5082092285,0.5082092285,3508.7136230469,601.00
483.60504698753357,0.5215148926,0.5215148926,3502.2753906250,603.00
498.61156392097473,0.5443267822,0.5443267822,3495.8710937500,604.00
513.6181917190552,0.5307617188,0.5307617188,3489.0239257813,606.00
528.6246259212494,0.5334014893,0.5334014893,3482.9897460938,608.00
543.6311800479889,0.4659881592,0.4659881592,3475.8869628906,610.00
558.637613773346,0.4499511719,0.4499511719,3468.4943847656,611.00
573.644150018692,0.4467010498,0.4467010498,3461.2177734375,613.00
588.6504099369049,0.4720764160,0.4720764160,3454.9223632813,615.00
603.656813621521,0.4233703613,0.4233703613,3447.3979492188,616.00
618.6633648872375,0.4828033447,0.4828033447,3440.4716796875,618.00
633.6698386669159,0.5428771973,0.5428771973,3434.2404785156,620.00
648.676228761673,0.5413360596,0.5413360596,3428.2131347656,621.00
663.6827137470245,0.4930267334,0.4930267334,3421.7832031250,623.00
678.6891078948975,0.5023498535,0.5023498535,3414.5876464844,625.00
693.6955528259277,0.4744110107,0.4744110107,3408.2104492188,626.00
708.7022037506104,0.5170593262,0.5170593262,3402.4699707031,628.00
723.7086730003357,0.5237579346,0.5237579346,3396.5134277344,630.00
738.7152018547058,0.5043487549,0.5043487549,3390.9099121094,632.00
753.7215967178345,0.5116729736,0.5116729736,3385.4194335938,633.00
