Timestamp,Volume Flow,Mass Flow,Average Flow,Totalizer
3.6007227897644043,-0.2036590576,-0.2036590576,2610.8566894531,1287.00
10.60786509513855,-0.0420227051,-0.0420227051,2610.8566894531,1287.00
17.61408495903015,0.1179046631,0.1179046631,2610.8566894531,1287.00
24.620901823043823,9.8180084229,9.8180084229,2612.6704101563,1289.00
31.627774953842163,7.6276397705,7.6276397705,2613.1982421875,1290.00
38.63461494445801,7.4503631592,7.4503631592,2613.6728515625,1291.00
45.64165711402893,7.8393554688,7.8393554688,2614.5451660156,1293.00
52.64832878112793,7.2492218018,7.2492218018,2614.9589843750,1294.00
59.654913902282715,7.2231903076,7.2231903076,2615.6311035156,1296.00
66.66193675994873,7.0844268799,7.0844268799,2615.9951171875,1297.00
73.66864395141602,6.8088989258,6.8088989258,2616.2788085938,1297.00
80.6755588054657,6.8712158203,6.8712158203,2617.0012207031,1299.00
87.68240690231323,6.7690582275,6.7690582275,2617.2719726563,1300.00
94.68912506103516,6.6015625000,6.6015625000,2617.7431640625,1302.00
101.6960039138794,7.7898559570,7.7898559570,2618.3122558594,1303.00
108.70264196395874,6.6377868652,6.6377868652,2618.5439453125,1304.00
115.70946502685547,7.6964111328,7.6964111328,2619.5458984375,1306.00
122.71635699272156,6.9195098877,6.9195098877,2619.8576660156,1307.00
129.72309589385986,6.5927734375,6.5927734375,2620.5664062500,1308.00
136.73007798194885,6.7498626709,6.7498626709,2620.8286132813,1309.00
150.73959708213806,7.0485076904,7.0485076904,2621.5795898438,1312.00
157.74654412269592,6.9619140625,6.9619140625,2621.9013671875,1313.00
164.75321173667908,7.0662689209,7.0662689209,2622.6428222656,1314.00
171.75992488861084,6.7657165527,6.7657165527,2622.9072265625,1315.00
178.76668214797974,7.5859985352,7.5859985352,2623.7458496094,1317.00
185.77351689338684,5.4972991943,5.4972991943,2623.6547851563,1318.00
192.78043389320374,7.0366516113,7.0366516113,2623.9958496094,1319.00
199.78717494010925,6.5265655518,6.5265655518,2624.7797851563,1321.00
206.7939829826355,7.2871398926,7.2871398926,2625.1916503906,1322.00
213.80083894729614,7.0807189941,7.0807189941,2626.0556640625,1323.00
220.80783677101135,7.6308898926,7.6308898926,2626.5661621094,1324.00
227.81461811065674,7.2268829346,7.2268829346,2626.9587402344,1325.00
234.82148385047913,6.4616394043,6.4616394043,2627.1791992188,1327.00
241.82815408706665,7.7968292236,7.7968292236,2627.7365722656,1328.00
248.83485579490662,6.5271148682,6.5271148682,2628.2263183594,1330.00
