Timestamp,Volume Flow,Mass Flow,Average Flow,Totalizer
11.322527408599854,0.0030059814,0.0030059814,nan,0.00
26.32984232902527,0.4889831543,0.4889831543,1973.8178710938,1.00
41.33690118789673,0.4878845215,0.4878845215,1991.0804443359,2.00
56.34400224685669,0.4359283447,0.4359283447,2013.3231201172,4.00
71.34840607643127,0.4914703369,0.4914703369,2027.5445556641,6.00
86.35399913787842,0.4715728760,0.4715728760,2041.5769042969,7.00
101.36007499694824,0.4731750488,0.4731750488,2033.1112060547,9.00
116.36721611022949,0.4722747803,0.4722747803,2027.5722656250,11.00
131.37396812438965,0.4823455811,0.4823455811,2036.2763671875,13.00
146.38088822364807,0.4746093750,0.4746093750,2035.4405517578,14.00
161.38807439804077,0.4798889160,0.4798889160,2034.5354003906,16.00
176.3951301574707,0.4821777344,0.4821777344,2033.1593017578,18.00
191.40206718444824,0.4809875488,0.4809875488,2028.3424072266,19.00
206.40915417671204,0.4801788330,0.4801788330,2027.3402099609,21.00
221.41630721092224,0.4815521240,0.4815521240,2026.8721923828,23.00
236.4232861995697,0.4504699707,0.4504699707,2019.3835449219,24.00
251.43040013313293,0.4917602539,0.4917602539,2019.1511230469,26.00
266.43743920326233,0.4401702881,0.4401702881,2010.9077148438,27.00
281.44466042518616,0.4617156982,0.4617156982,2009.3399658203,29.00
296.45161533355713,0.4921875000,0.4921875000,2007.8415527344,31.00
311.45879220962524,0.4798126221,0.4798126221,2005.3745117188,32.00
326.46566343307495,0.4799194336,0.4799194336,2004.2470703125,34.00
341.4726572036743,0.4900512695,0.4900512695,2004.8753662109,36.00
356.47982835769653,0.4703369141,0.4703369141,2003.6966552734,37.00
371.48706817626953,0.4807281494,0.4807281494,2004.3668212891,39.00
386.4939000606537,0.4543914795,0.4543914795,2003.1275634766,41.00
401.5008964538574,0.5077819824,0.5077819824,2002.7027587891,42.00
416.50809597969055,0.4351043701,0.4351043701,2003.6494140625,44.00
431.5151033401489,0.4526519775,0.4526519775,2000.6645507813,46.00
446.52210426330566,0.4656372070,0.4656372070,1998.1600341797,47.00
461.5292100906372,0.4982147217,0.4982147217,1998.3670654297,49.00
476.53633213043213,0.4850921631,0.4850921631,1998.8485107422,51.00
491.5433192253113,0.4575653076,0.4575653076,1996.8930664063,52.00
506.5504252910614,0.4436492920,0.4436492920,1994.1745605469,54.00
521.5575551986694,0.4605712891,0.4605712891,1992.1151123047,55.00
536.5645151138306,0.5081634521,0.5081634521,1991.0690917969,57.00
551.5715432167053,0.4851837158,0.4851837158,1992.0999755859,59.00
566.578497171402,0.4954071045,0.4954071045,1993.4183349609,60.00
581.5856142044067,0.4754638672,0.4754638672,1994.9930419922,62.00
596.5926542282104,0.4895477295,0.4895477295,1994.9074707031,64.00
611.5997891426086,0.4455871582,0.4455871582,1994.5142822266,65.00
626.6067750453949,0.4811401367,0.4811401367,1993.8486328125,67.00
641.613783121109,0.4433746338,0.4433746338,1992.0830078125,69.00
656.6210741996765,0.4596099854,0.4596099854,1989.3081054688,70.00
671.6281151771545,0.4947814941,0.4947814941,1990.2731933594,72.00
686.6351983547211,0.4639739990,0.4639739990,1988.4254150391,74.00
701.6420133113861,0.4529876709,0.4529876709,1986.1754150391,75.00
716.6490471363068,0.4494171143,0.4494171143,1983.8502197266,77.00
731.6560282707214,0.4403991699,0.4403991699,1981.9283447266,78.00
746.6631233692169,0.4649658203,0.4649658203,1980.5625000000,80.00
761.6700751781464,0.4597015381,0.4597015381,1978.3349609375,81.00
