Timestamp,Volume Flow,Mass Flow,Average Flow,Totalizer
2.9225149154663086,-0.3677673340,-0.3677673340,8680.4335937500,3496.00
9.928753852844238,-0.3027801514,-0.3027801514,8680.4335937500,3496.00
16.93527388572693,0.0447845459,0.0447845459,8680.4335937500,3496.00
23.9418888092041,-0.4136505127,-0.4136505127,8680.4335937500,3496.00
30.948461055755615,0.2494049072,0.2494049072,8680.4335937500,3496.00
37.95526480674744,0.0137176514,0.0137176514,8680.4335937500,3496.00
44.9621696472168,-0.0260162354,-0.0260162354,8680.4335937500,3496.00
51.96868586540222,3.5645446777,3.5645446777,8673.2724609375,3498.00
58.975512742996216,3.7806854248,3.7806854248,8669.7685546875,3499.00
65.98217177391052,3.7711486816,3.7711486816,8662.5205078125,3501.00
72.9889190196991,4.1444396973,4.1444396973,8659.4326171875,3502.00
79.99561786651611,3.7180328369,3.7180328369,8655.8818359375,3503.00
87.00269269943237,3.4914245605,3.4914245605,8649.3105468750,3505.00
94.00928378105164,3.6811676025,3.6811676025,8645.7353515625,3506.00
101.01575493812561,4.0742492676,4.0742492676,8639.2587890625,3508.00
108.02273297309875,4.2240600586,4.2240600586,8636.2949218750,3509.00
115.02957892417908,3.6298980713,3.6298980713,8632.6855468750,3510.00
122.03593897819519,3.6413116455,3.6413116455,8625.0214843750,3512.00
129.0427279472351,3.3842773438,3.3842773438,8621.1826171875,3513.00
136.04940676689148,3.6757354736,3.6757354736,8614.5214843750,3515.00
143.05619382858276,3.3924865723,3.3924865723,8610.7050781250,3516.00
150.0628809928894,3.7781066895,3.7781066895,8607.2832031250,3517.00
157.06963086128235,3.5808868408,3.5808868408,8600.1494140625,3518.00
164.07633996009827,3.5312347412,3.5312347412,8596.4902343750,3519.00
171.0830807685852,4.0538330078,4.0538330078,8590.0117187500,3521.00
178.08995580673218,4.0391845703,4.0391845703,8586.8994140625,3523.00
185.09649682044983,4.0735778809,4.0735778809,8583.8300781250,3524.00
192.10352206230164,3.9950561523,3.9950561523,8576.4765625000,3525.00
199.1100378036499,3.9989166260,3.9989166260,8573.3378906250,3526.00
206.1169078350067,4.0365905762,4.0365905762,8567.3056640625,3529.00
213.1237199306488,3.9755401611,3.9755401611,8564.1533203125,3530.00
220.13025283813477,3.8907928467,3.8907928467,8560.9150390625,3531.00
227.1369137763977,3.7785644531,3.7785644531,8554.1953125000,3533.00
234.1436698436737,3.8854827881,3.8854827881,8550.9648437500,3534.00
241.1503849029541,4.4962005615,4.4962005615,8545.3291015625,3536.00
248.15727472305298,3.2990875244,3.2990875244,8541.5234375000,3537.00
255.16403889656067,3.2339019775,3.2339019775,8537.6630859375,3538.00
262.1708278656006,3.6098937988,3.6098937988,8531.0507812500,3540.00
269.17739391326904,4.3953247070,4.3953247070,8528.4189453125,3541.00
276.1842007637024,3.8946685791,3.8946685791,8522.2910156250,3543.00
283.1908669471741,4.2930450439,4.2930450439,8519.5507812500,3545.00
290.1977107524872,3.4572448730,3.4572448730,8515.9335937500,3545.00
297.2045817375183,4.0979309082,4.0979309082,8510.0615234375,3548.00
304.2112488746643,3.6530914307,3.6530914307,8506.6513671875,3549.00
311.21808886528015,3.5633392334,3.5633392334,8499.6484375000,3550.00
318.2245259284973,3.2533416748,3.2533416748,8495.8671875000,3551.00
