Timestamp,Volume Flow,Mass Flow,Average Flow,Totalizer
27.25609827041626,-0.2120361328,-0.2120361328,nan,0.00
34.26191806793213,-0.0460662842,-0.0460662842,nan,0.00
41.26787519454956,-0.3151550293,-0.3151550293,nan,0.00
48.27344489097595,0.4241790771,0.4241790771,nan,0.00
55.280620098114014,5.5358276367,5.5358276367,2478.2863769531,0.00
62.28731083869934,5.9208068848,5.9208068848,2574.2050781250,1.00
69.29412317276001,5.7608184814,5.7608184814,2518.9831542969,2.00
76.30084419250488,4.5160217285,4.5160217285,2411.6586914063,3.00
83.30766606330872,5.9258117676,5.9258117676,2446.2968750000,4.00
90.3145821094513,5.5870819092,5.5870819092,2453.4699707031,5.00
97.32137608528137,5.2069702148,5.2069702148,2438.2426757813,6.00
104.32818913459778,5.0617218018,5.0617218018,2421.9841308594,7.00
111.33512711524963,5.0989227295,5.0989227295,2408.7890625000,8.00
118.34169816970825,4.9291839600,4.9291839600,2352.8664550781,9.00
125.34857821464539,4.7845306396,4.7845306396,2336.7561035156,9.00
132.3554229736328,5.1903686523,5.1903686523,2334.9775390625,10.00
139.36231899261475,5.8931274414,5.8931274414,2363.4575195313,11.00
146.3693971633911,4.9940185547,4.9940185547,2355.5173339844,12.00
153.37610292434692,4.3918457031,4.3918457031,2311.2370605469,13.00
160.38290691375732,4.5948791504,4.5948791504,2298.0024414063,14.00
167.3899221420288,4.5100555420,4.5100555420,2284.1550292969,14.00
174.39644289016724,4.9631500244,4.9631500244,2261.0434570313,15.00
181.40322303771973,4.3376617432,4.3376617432,2247.0593261719,16.00
188.41002297401428,4.6849060059,4.6849060059,2242.9914550781,17.00
195.41683411598206,4.3894195557,4.3894195557,2231.9238281250,17.00
202.423828125,5.2820281982,5.2820281982,2235.9665527344,18.00
209.43065404891968,5.0943298340,5.0943298340,2227.5966796875,19.00
216.4373860359192,4.8783264160,4.8783264160,2225.4426269531,20.00
223.44421887397766,4.4254150391,4.4254150391,2215.5480957031,21.00
230.45115208625793,5.3131713867,5.3131713867,2219.7966308594,22.00
237.4578080177307,4.9269256592,4.9269256592,2218.7221679688,22.00
244.46464896202087,5.9936828613,5.9936828613,2238.1560058594,24.00
251.47158217430115,5.0225524902,5.0225524902,2237.8637695313,24.00
258.4786310195923,4.9382629395,4.9382629395,2240.1965332031,26.00
265.48538088798523,4.7293853760,4.7293853760,2236.5791015625,26.00
272.49213194847107,5.3270721436,5.3270721436,2239.7321777344,27.00
279.4988679885864,4.9803161621,4.9803161621,2238.1164550781,28.00
286.50555515289307,4.9704284668,4.9704284668,2237.3295898438,29.00
293.5124759674072,4.5759277344,4.5759277344,2232.2204589844,30.00
300.5192379951477,4.9609985352,4.9609985352,2231.5070800781,30.00
307.5261981487274,5.8106842041,5.8106842041,2239.0266113281,31.00
314.5328788757324,5.3283081055,5.3283081055,2253.6928710938,33.00
321.54000210762024,4.1218261719,4.1218261719,2245.2065429688,33.00
328.5465841293335,5.0708923340,5.0708923340,2248.1108398438,34.00
335.55349612236023,5.0658874512,5.0658874512,2248.1008300781,35.00
342.56020307540894,5.2955169678,5.2955169678,2250.0268554688,36.00
349.5671720504761,5.4652099609,5.4652099609,2254.0610351563,37.00
356.57412791252136,5.3532867432,5.3532867432,2256.2602539063,38.00
363.58082914352417,5.0334167480,5.0334167480,2263.0446777344,39.00
370.5877351760864,5.2449340820,5.2449340820,2264.1691894531,40.00
377.5944290161133,4.9000091553,4.9000091553,2262.6743164063,40.00
384.6013021469116,5.5871429443,5.5871429443,2261.0808105469,42.00
391.60814809799194,5.1332092285,5.1332092285,2261.3649902344,42.00
398.61506485939026,5.6300201416,5.6300201416,2264.2453613281,44.00
405.6216678619385,6.1095733643,6.1095733643,2271.2998046875,44.00
412.6285409927368,5.6991271973,5.6991271973,2275.3002929688,45.00
419.6353180408478,4.8115539551,4.8115539551,2270.0878906250,46.00
426.6421551704407,4.5442504883,4.5442504883,2266.4311523438,47.00
433.64908504486084,4.7091369629,4.7091369629,2262.8789062500,48.00
440.65588116645813,5.2671966553,5.2671966553,2263.9436035156,49.00
447.66274905204773,4.6076812744,4.6076812744,2260.9340820313,49.00
454.66975498199463,5.1974487305,5.1974487305,2261.9111328125,50.00
461.67637515068054,5.4501342773,5.4501342773,2264.0332031250,51.00
468.68325114250183,5.8481597900,5.8481597900,2264.0878906250,52.00
475.689945936203,4.7602081299,4.7602081299,2262.1513671875,53.00
482.69682598114014,5.0210418701,5.0210418701,2261.7277832031,54.00
489.7036349773407,4.4880676270,4.4880676270,2256.0258789063,55.00
496.71041798591614,5.2915649414,5.2915649414,2257.1704101563,55.00
503.7173981666565,5.5027465820,5.5027465820,2258.7346191406,57.00
510.7240478992462,4.5471954346,4.5471954346,2255.8925781250,57.00
517.7309520244598,5.4194030762,5.4194030762,2257.6652832031,58.00
524.7378990650177,5.0071716309,5.0071716309,2257.6594238281,59.00
531.7446300983429,4.9427337646,4.9427337646,2256.9306640625,60.00
538.7514681816101,6.4326934814,6.4326934814,2267.1081542969,61.00
545.758467912674,5.0342254639,5.0342254639,2266.7551269531,62.00
552.7650051116943,5.6761627197,5.6761627197,2269.5666503906,63.00
559.7721621990204,5.3047180176,5.3047180176,2272.8977050781,64.00
566.7788822650909,4.9071960449,4.9071960449,2271.9035644531,65.00
573.7855031490326,5.8697357178,5.8697357178,2278.1770019531,66.00
580.7923159599304,5.2432861328,5.2432861328,2278.7055664063,67.00
587.799192905426,4.4199066162,4.4199066162,2275.5078125000,67.00
594.8060870170593,5.6971588135,5.6971588135,2277.4699707031,68.00
601.8128411769867,4.9894409180,4.9894409180,2276.8601074219,69.00
608.8197600841522,5.3262481689,5.3262481689,2276.5834960938,70.00
615.8265390396118,5.3323059082,5.3323059082,2277.4802246094,71.00
