Timestamp,Volume Flow,Mass Flow,Average Flow,Totalizer
4.727340936660767,0.0028533936,0.0028533936,nan,0.00
9.732803106307983,0.0264892578,0.0264892578,nan,0.00
14.73840880393982,-0.0303192139,-0.0303192139,nan,0.00
19.744943857192993,0.4756011963,0.4756011963,270.0783691406,0.00
24.751560926437378,0.6549835205,0.6549835205,408.0159912109,0.00
29.757999897003174,0.6977081299,0.6977081299,404.4578247070,1.00
34.76432204246521,0.7097930908,0.7097930908,406.1578979492,1.00
39.770726919174194,0.7238311768,0.7238311768,406.6109619141,2.00
44.77714776992798,0.7291107178,0.7291107178,407.6152954102,2.00
49.78362703323364,0.6956634521,0.6956634521,406.3066711426,3.00
54.79010486602783,0.6731414795,0.6731414795,405.2525024414,4.00
59.79668307304382,0.7215423584,0.7215423584,405.2670593262,4.00
64.80300283432007,0.7052612305,0.7052612305,405.3706970215,5.00
69.80947494506836,0.7268371582,0.7268371582,405.1930847168,5.00
74.81606197357178,0.7237854004,0.7237854004,404.6380004883,6.00
79.82249903678894,0.7359313965,0.7359313965,405.2515563965,6.00
84.82887601852417,0.6868438721,0.6868438721,405.7032470703,7.00
89.83527088165283,0.7278137207,0.7278137207,405.8707275391,8.00
94.84190702438354,0.7061462402,0.7061462402,405.6957092285,8.00
99.84855198860168,0.7543487549,0.7543487549,406.0461120605,9.00
104.85497808456421,0.7423095703,0.7423095703,405.7020263672,9.00
109.86123490333557,0.7120361328,0.7120361328,405.3314819336,10.00
114.86763286590576,0.7040252686,0.7040252686,405.1824035645,10.00
119.87400794029236,0.7120513916,0.7120513916,405.0121154785,11.00
124.880539894104,0.6547546387,0.6547546387,405.0392150879,11.00
129.88713598251343,0.7347869873,0.7347869873,405.1980895996,12.00
134.89361786842346,0.6832885742,0.6832885742,405.0817260742,13.00
139.8999810218811,0.7015380859,0.7015380859,404.9553833008,13.00
144.90639090538025,0.7175750732,0.7175750732,405.2901611328,14.00
149.91325283050537,0.7444610596,0.7444610596,405.6211853027,14.00
154.91937685012817,0.6735229492,0.6735229492,405.3186035156,15.00
159.92585587501526,0.7329254150,0.7329254150,405.5393371582,15.00
164.93242502212524,0.7409667969,0.7409667969,405.5807189941,16.00
169.93894600868225,0.7426605225,0.7426605225,405.4431762695,17.00
174.94536972045898,0.7100677490,0.7100677490,405.5119628906,17.00
179.95189881324768,0.7557220459,0.7557220459,405.6886596680,18.00
184.95814990997314,0.7238616943,0.7238616943,405.8216247559,18.00
189.96466898918152,0.6711578369,0.6711578369,405.7812194824,19.00
194.97115087509155,0.7039947510,0.7039947510,405.5884704590,19.00
199.97762489318848,0.7413482666,0.7413482666,405.6529846191,20.00
204.98408699035645,0.7477416992,0.7477416992,405.6391601563,20.00
209.99055790901184,0.7019500732,0.7019500732,405.5778808594,21.00
214.99700689315796,0.7207794189,0.7207794189,405.6073913574,22.00
220.00338983535767,0.7508697510,0.7508697510,405.9495544434,22.00
225.00990891456604,0.7347564697,0.7347564697,406.0786132813,23.00
230.01645493507385,0.7241516113,0.7241516113,406.1617431641,23.00
235.0227677822113,0.7295989990,0.7295989990,406.2302246094,24.00
240.02956700325012,0.7036437988,0.7036437988,406.1124267578,24.00
245.03603196144104,0.7203369141,0.7203369141,406.0648498535,25.00
250.04239201545715,0.7719573975,0.7719573975,406.0478820801,26.00
255.04877281188965,0.7166900635,0.7166900635,406.1331481934,26.00
260.05518794059753,0.7327117920,0.7327117920,406.1715393066,27.00
265.06154584884644,0.7023925781,0.7023925781,406.1965637207,27.00
270.06803584098816,0.7734832764,0.7734832764,406.3309936523,28.00
275.0745658874512,0.6517333984,0.6517333984,406.3616943359,28.00
280.08092188835144,0.7173614502,0.7173614502,406.3508300781,29.00
285.0874388217926,0.7269744873,0.7269744873,406.3443298340,30.00
290.09401988983154,0.6512298584,0.6512298584,406.3700256348,30.00
295.1004228591919,0.6943206787,0.6943206787,406.2789001465,31.00
300.1068768501282,0.6673583984,0.6673583984,406.0675964355,31.00
305.11326003074646,0.6912536621,0.6912536621,405.8710021973,32.00
310.11992287635803,0.7563934326,0.7563934326,406.0676269531,32.00
315.1263768672943,0.7059783936,0.7059783936,406.0723266602,33.00
320.13278007507324,0.7487030029,0.7487030029,406.0574645996,33.00
