Timestamp,Volume Flow,Mass Flow,Average Flow,Totalizer
1.1954810619354248,-0.0315093994,-0.0315093994,nan,0.00
6.201510190963745,-0.0047607422,-0.0047607422,nan,0.00
11.207580089569092,-0.0453033447,-0.0453033447,nan,0.00
16.21363401412964,-0.0301818848,-0.0301818848,nan,0.00
21.21974205970764,-0.0044403076,-0.0044403076,nan,0.00
26.226677894592285,0.9050598145,0.9050598145,513.9538574219,0.00
31.233947038650513,0.8629302979,0.8629302979,503.2107238770,0.00
36.24097299575806,0.8544311523,0.8544311523,494.0882568359,1.00
41.24806308746338,0.8683013916,0.8683013916,491.4227905273,2.00
46.25501894950867,0.8588562012,0.8588562012,493.4034729004,2.00
51.26177406311035,0.9510955811,0.9510955811,497.1801452637,3.00
56.268925189971924,0.8425750732,0.8425750732,496.2971191406,4.00
61.27602005004883,0.9242248535,0.9242248535,497.6145935059,4.00
66.28309488296509,0.8813171387,0.8813171387,498.0378112793,5.00
71.29006814956665,0.8364410400,0.8364410400,497.8072814941,6.00
76.29710412025452,0.8701477051,0.8701477051,497.2326965332,7.00
81.30425214767456,0.9096221924,0.9096221924,498.5788269043,7.00
86.31109118461609,0.8806762695,0.8806762695,499.2650146484,8.00
101.32424426078796,0.9174194336,0.9174194336,500.2864685059,10.00
106.33137202262878,0.8728179932,0.8728179932,500.0387268066,11.00
111.33825016021729,0.9094390869,0.9094390869,499.9502258301,11.00
116.3453049659729,0.8476409912,0.8476409912,499.4323425293,12.00
121.35229301452637,0.9055480957,0.9055480957,499.5513610840,13.00
126.35937595367432,0.8608856201,0.8608856201,499.8942565918,13.00
131.36657190322876,0.8438262939,0.8438262939,499.4146728516,14.00
136.37359619140625,0.8364715576,0.8364715576,499.5547180176,15.00
141.3808159828186,0.9176025391,0.9176025391,500.9785461426,16.00
146.38768601417542,0.8739776611,0.8739776611,500.9385681152,16.00
151.39481592178345,0.8812103271,0.8812103271,500.1675415039,17.00
156.4017481803894,0.8833465576,0.8833465576,499.9931640625,18.00
161.40862822532654,0.9169616699,0.9169616699,500.2205505371,18.00
166.41570401191711,0.8336334229,0.8336334229,499.8315429688,19.00
171.4226999282837,0.9071044922,0.9071044922,500.3423461914,20.00
176.429701089859,0.8645019531,0.8645019531,500.0942687988,20.00
181.4368290901184,0.8322753906,0.8322753906,499.6612548828,21.00
186.4438440799713,0.8801269531,0.8801269531,499.2970275879,22.00
191.4510099887848,0.9159851074,0.9159851074,499.3440246582,22.00
196.45804715156555,0.8538665771,0.8538665771,498.9423828125,23.00
201.46503019332886,0.8889617920,0.8889617920,498.7564392090,24.00
206.47203183174133,0.8640441895,0.8640441895,498.6833801270,24.00
211.47900986671448,0.8762207031,0.8762207031,498.5377502441,25.00
216.48623514175415,0.8196716309,0.8196716309,498.3276367188,26.00
221.49319005012512,0.8487701416,0.8487701416,498.0618896484,26.00
226.50038123130798,0.8817443848,0.8817443848,498.3554382324,27.00
231.50732803344727,0.8624725342,0.8624725342,498.2501831055,28.00
236.51429224014282,0.8773803711,0.8773803711,498.6092529297,29.00
241.52140307426453,0.9015350342,0.9015350342,498.7968444824,29.00
246.5283031463623,0.8332977295,0.8332977295,498.5221862793,30.00
251.53541016578674,0.9187164307,0.9187164307,498.1513061523,31.00
256.5424790382385,0.8474578857,0.8474578857,497.6327209473,31.00
261.5494530200958,0.8961486816,0.8961486816,497.6022033691,32.00
266.55649495124817,0.9213867188,0.9213867188,497.3888244629,33.00
271.5634422302246,0.8359680176,0.8359680176,497.0947265625,33.00
276.570592880249,0.8231811523,0.8231811523,496.9043884277,34.00
281.5775442123413,0.8750000000,0.8750000000,496.7419128418,35.00
286.5846178531647,0.8898010254,0.8898010254,496.7641601563,35.00
291.5917532444,0.8628845215,0.8628845215,496.6351318359,36.00
296.59902811050415,0.8479156494,0.8479156494,496.4628601074,37.00
301.60592913627625,0.8227081299,0.8227081299,496.3679504395,37.00
306.6130700111389,0.8644866943,0.8644866943,496.1990051270,38.00
311.61990904808044,0.8272247314,0.8272247314,495.8187561035,39.00
316.62689304351807,0.8195648193,0.8195648193,495.6338500977,39.00
321.63394021987915,0.8234405518,0.8234405518,495.4066162109,40.00
326.6408739089966,0.8311920166,0.8311920166,495.1941528320,41.00
331.64801716804504,0.8651275635,0.8651275635,494.9878540039,41.00
336.6549160480499,0.8359375000,0.8359375000,494.8684082031,42.00
341.6620981693268,0.8749237061,0.8749237061,494.7257080078,43.00
346.6692020893097,0.8667602539,0.8667602539,494.7045898438,43.00
351.6761541366577,0.8374023438,0.8374023438,494.6517333984,44.00
356.6831798553467,0.8324890137,0.8324890137,494.7878723145,45.00
361.6904790401459,0.9367370605,0.9367370605,494.5953369141,46.00
366.6974399089813,0.7850952148,0.7850952148,494.4389343262,46.00
371.7044780254364,0.8547210693,0.8547210693,494.2044372559,47.00
376.7114841938019,0.8612060547,0.8612060547,494.0615234375,48.00
381.7183949947357,0.7761230469,0.7761230469,493.8891296387,48.00
386.7253448963165,0.8650665283,0.8650665283,493.6775512695,49.00
391.7323958873749,0.8269653320,0.8269653320,493.6808166504,50.00
396.73978900909424,0.8747558594,0.8747558594,493.8172302246,50.00
401.74648904800415,0.8408203125,0.8408203125,493.5899963379,51.00
406.75367498397827,0.8783416748,0.8783416748,493.5718383789,52.00
411.7605879306793,0.9118041992,0.9118041992,493.5423278809,52.00
416.7676250934601,0.8721466064,0.8721466064,493.4075317383,53.00
421.77514910697937,0.8684844971,0.8684844971,493.2226562500,54.00
426.7816791534424,0.8842468262,0.8842468262,493.1246032715,54.00
431.788859128952,0.8254089355,0.8254089355,493.1655883789,55.00
